blank,session,date,filename,unit,topic,long-topic,concepts,title,pad-slug,image,zotero-tag,zotero-readings,objective,Aufgabe,tags,contents
,1,24.04,2025-04-24-1.md,Introduction,Introduction,The physical side of scriptures,materiality,1. Introduction,1,BNF-arabe-14-f002v-003r.jpg,1-Introduction,,"1. Determine your own goals for the course.
2. Begin to consider the physical aspects involved in writing, transmitting, and reading scripture.",,[1],"---
layout: post
session: 1
tags: [1]
level: overview
---"
,,01.05,2025-05-01-labor-day.md,Labor Day (no class),Labor Day (no class),,,. Labor Day (no class),,,,,,,,
,2,08.05,2025-05-08-2.md,How books are made,How books are made,Deconstructing books,"readership, usage, economic factors",2. How books are made,2,book-binding-front.jpg,2-How-books-are-made,"[gruendlerIntroduction2020, vallejomoreuBooksSkinDetectives2023]",Ask fundamental questions regarding a book's production.,Explain the steps in making a book using a book you bring.,[2],"---
layout: post
session: 2
tags: [2]
level: overview
---"
,3,15.05,2025-05-15-3.md,Parchment as writing support,Parchment as writing support,Preparing animal skins,"species, chemical preparation, physical preparation, hair vs. flesh side",3. Parchment as writing support,3,parchment-bcuf-L2057_089v.jpg,3-Parchment-as-writing-support,,"1. List the steps in the process of preparing animal skins for writing.
2. Consider the implications of parchment as a writing support.",Practice as many steps of parchment production as you can on your own material.,[3],"---
layout: post
session: 3
tags: [3]
level: overview
---"
,4,22.05,2025-05-22-4.md,Excursion,Excursion,,,4. Excursion,4,bible-gutenberg.jpg,4-Excursion,"ComSt handbook, YT video",Record examples of different kinds of book production.,Record the physical details of 3 manuscripts or printed books you find.,[4],"---
layout: post
session: 4
tags: [4]
level: overview
---"
,,29.05,2025-05-29-ascension.md,Ascension (no class),Ascension (no class),,,. Ascension (no class),,,,,,,,
,5,05.06,2025-06-05-5.md,Papyrus & paper as writing support,Papyrus & paper as writing support,Preparing plant materials,"material types, thickness, binding agent, chain lines",5. Papyrus & paper as writing support,5,papyrus-growing.jpg,5-Papyrus-paper-as-writing-support,"ComSt handbook, YT video","1. List the steps in the process of preparing papyrus or pulp for writing.
2. Compare the traits of parchment, papyrus, and paper.",Practice the steps of papyrus making or paper making using your own materials.,[5],"---
layout: post
session: 5
tags: [5]
level: overview
---"
,6,12.06,2025-06-12-6.md,Binding & Layout,Binding & Layout,Arranging pages and spaces,"quiring, quire and folio numbers, ruling, pricking, VisColl",6. Binding & Layout,6,interlinear-sbb-diez-A-oct-160-f002r.jpg,6-Binding-Layout,ComST handbook?,"1. List several options for collating writing surfaces and formatting the page. 
2. Explain what these choices might indicate about a manuscript's production.",Sew or collate pages and mark the writing space. ,[6],"---
layout: post
session: 6
tags: [6]
level: overview
---"
,,19.06,2025-06-19-corpus-christi.md,Corpus Christi (no class),Corpus Christi (no class),,,. Corpus Christi (no class),,,,,,,,
,7,26.06,2025-06-26-7.md,Excursion,Excursion,,,7. Excursion,7,book-open-pages-closeup.jpg,7-Excursion,,Ask in-depth questions regarding a book's production.,Record in-depth observations and questions about the production of 1 manuscript or printed book. ,[7],"---
layout: post
session: 7
tags: [7]
level: overview
---"
,8,03.07,2025-07-03-8.md,Inks & Utensils,Inks & Utensils,Mixing and writing,"inks vs. pigments, carbon vs. metallic, pens vs. brushes",8. Inks & Utensils,8,pen-qalam.jpg,8-Inks-Utensils,ComSt handbook,Compare types of inks and writing utensils and begin to identify the evidences of each.,Mix your own ink and write on your sample manuscript with your own utensil.,[8],"---
layout: post
session: 8
tags: [8]
level: overview
---"
,9,10.07,2025-07-10-9.md,Paratexts,Paratexts,"Adding headers, decorations, and annotations","hands, rubrics, incipits, explicits, annotations, vocalization",9. Paratexts,9,rubrics-sbb-ms-or-quart-887-p001.jpg,9-Paratexts,,Explain what paratexts may indicate about a manuscript's readership.,Add paratexts of different types to your sample manuscript.,[9],"---
layout: post
session: 9
tags: [9]
level: overview
---"
,10,17.07,2025-07-17-10.md,Presentations,Presentations,,,10. Presentations,10,bible-hebrew.jpg,10-Presentations,,Apply what you've learned in the course to your own example.,"Present the manuscript you created, explaining the decisions you made about its production and the challenges you faced.",[10],"---
layout: post
session: 10
tags: [10]
level: overview
---"
,11,24.07,2025-07-24-11.md,Review,Review,,,11. Review,11,books-around-door.jpg,11-Review,,Summarize and reflect what you've learned in the course.,Collect your notes and questions from the course.,[11],"---
layout: post
session: 11
tags: [11]
level: overview
---"
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
